magnet,cell_i,cell_j,sample,t_s,x_mm,y_mm,z_mm,Bx_uT,By_uT,Bz_uT,Babs_uT,Bbx_uT,Bby_uT,Bbz_uT,ax_g,ay_g,az_g,tilt_deg,gain_idx,qmc
m3,2,0,1,0.008,40.000,40.000,0.000,108.9292,-300.0790,258.8644,411.0033,-17.3367,-33.4033,-409.2767,-1.71551,-2.71368,-2.14957,123.804,4,1
m3,2,0,2,0.204,40.000,40.000,0.000,113.0280,-305.5967,254.9166,413.6993,-12.9700,-30.4033,-412.3767,-1.73565,-2.72894,-2.14225,123.520,4,1
m3,2,0,3,0.411,40.000,40.000,0.000,112.6016,-310.7952,256.6101,418.4752,-14.0700,-28.8367,-417.2433,-1.70208,-2.68010,-2.09768,123.453,4,1
m3,2,0,4,0.608,40.000,40.000,0.000,112.5936,-311.0185,257.1207,418.9521,-14.3033,-25.8367,-417.9100,-1.73504,-2.71551,-2.15934,123.826,4,1
m3,2,0,5,0.83,40.000,40.000,0.000,109.4033,-313.9914,255.8570,419.5504,-17.7700,-24.7367,-418.4433,-1.71245,-2.66606,-2.09096,123.420,4,1
m3,2,0,6,1.041,40.000,40.000,0.000,111.6013,-312.4134,257.3795,419.8823,-16.1033,-26.9033,-418.7100,-1.72589,-2.69292,-2.11905,123.525,4,1
m3,2,0,7,1.237,40.000,40.000,0.000,116.0176,-310.4564,253.9834,417.5533,-9.5700,-25.8367,-416.6433,-1.72100,-2.70330,-2.14286,123.770,4,1
m3,2,0,8,1.446,40.000,40.000,0.000,116.5220,-311.3176,256.4136,419.8142,-11.5033,-28.1700,-418.7100,-1.72894,-2.68987,-2.12149,123.563,4,1
m3,2,0,9,1.642,40.000,40.000,0.000,116.1438,-309.8556,261.5019,421.7619,-13.4700,-30.9367,-420.4100,-1.74176,-2.71734,-2.15995,123.791,4,1
m3,2,0,10,1.853,40.000,40.000,0.000,114.8405,-310.3725,258.9493,420.2073,-14.5700,-30.0700,-418.8767,-1.73016,-2.68254,-2.11416,123.517,4,1
m3,0,1,1,0.009,-40.000,0.000,0.000,-18.8318,18.8185,152.6293,154.9338,-82.3367,-115.1117,-63.0433,-1.53297,-2.58730,-1.94628,122.910,0,1
m3,0,1,2,0.221,-40.000,0.000,0.000,-19.2241,19.1730,154.9108,157.2721,-83.2367,-116.6533,-64.7933,-1.55861,-2.64042,-2.01221,123.276,0,1
m3,0,1,3,0.428,-40.000,0.000,0.000,-17.3764,17.9922,157.3951,159.3703,-85.0867,-117.5700,-65.8517,-1.58669,-2.57753,-1.93712,122.619,0,1
m3,0,1,4,0.638,-40.000,0.000,0.000,-18.7781,20.1987,157.2417,159.6420,-85.4867,-117.6950,-65.7683,-1.62576,-2.64957,-2.05617,123.482,0,1
m3,0,1,5,0.851,-40.000,0.000,0.000,-16.1253,21.9441,156.4399,158.7923,-84.5867,-117.7367,-64.7933,-1.72589,-2.70147,-2.12759,123.572,0,1
m3,0,1,6,1.059,-40.000,0.000,0.000,-16.8006,22.4825,158.4464,160.9130,-85.9867,-118.8783,-66.0850,-1.74176,-2.71795,-2.16850,123.891,0,1
m3,0,1,7,1.269,-40.000,0.000,0.000,-16.1954,23.9862,157.1624,159.8050,-85.4033,-118.6283,-64.5850,-1.78816,-2.75458,-2.21429,123.990,0,1
m3,0,1,8,1.481,-40.000,0.000,0.000,-16.3281,24.9228,155.2661,158.0991,-84.2533,-117.9033,-63.2100,-1.79426,-2.78022,-2.24603,124.168,0,1
m3,0,1,9,1.688,-40.000,0.000,0.000,-15.4541,24.8721,156.1254,158.8477,-84.1700,-118.9200,-63.2933,-1.77350,-2.74237,-2.19414,123.895,0,1
m3,0,1,10,1.887,-40.000,0.000,0.000,-15.4419,25.4132,157.1250,159.9142,-84.3367,-119.7950,-64.1017,-1.79915,-2.78571,-2.25031,124.160,0,1
m3,1,1,1,0.014,0.000,0.000,0.000,-53.6878,-54.9415,258.9714,270.1243,-164.6533,-126.4867,-172.7933,-1.80342,-2.77839,-2.24420,124.119,0,1
m3,1,1,2,0.224,0.000,0.000,0.000,-52.7414,-57.0736,257.5523,269.0209,-163.7117,-125.7533,-172.5017,-1.76984,-2.72894,-2.16300,123.624,0,1
m3,1,1,3,0.419,0.000,0.000,0.000,-54.4396,-55.5796,256.9779,268.4966,-163.9867,-125.5283,-171.5850,-1.76618,-2.74603,-2.19658,123.932,0,1
m3,1,1,4,0.616,0.000,0.000,0.000,-54.1471,-55.9101,258.0769,269.5580,-164.5700,-125.6117,-172.6267,-1.79365,-2.77228,-2.22711,123.999,0,1
m3,1,1,5,0.824,0.000,0.000,0.000,-53.2034,-56.1244,257.3137,268.6836,-164.1533,-124.9450,-172.1433,-1.79243,-2.74664,-2.20269,123.885,0,1
m3,1,1,6,1.034,0.000,0.000,0.000,-52.9631,-56.4534,258.6106,269.9473,-164.3617,-125.8367,-173.2683,-1.81624,-2.78877,-2.23626,123.899,0,1
m3,1,1,7,1.244,0.000,0.000,0.000,-51.4062,-56.0648,259.5501,270.4665,-164.6117,-126.3367,-173.4767,-1.83944,-2.78144,-2.23565,123.839,0,1
m3,1,1,8,1.469,0.000,0.000,0.000,-51.0816,-57.7853,260.8225,271.9869,-164.2783,-127.2117,-175.5183,-1.81074,-2.76557,-2.20818,123.743,0,1
m3,1,1,9,1.681,0.000,0.000,0.000,-53.1897,-56.8563,260.2941,271.6888,-164.8200,-126.9867,-174.7100,-1.78755,-2.76129,-2.21429,123.947,0,1
m3,1,1,10,1.876,0.000,0.000,0.000,-53.2577,-56.3822,261.0020,272.2818,-165.3783,-127.5867,-174.6683,-1.79853,-2.77167,-2.22405,123.945,0,1
m3,2,1,1,0.014,40.000,0.000,0.000,-111.2651,-165.7045,238.1514,310.7314,-207.4617,-23.4033,-230.1433,-1.83944,-2.81868,-2.23748,123.615,0,1
m3,2,1,2,0.223,40.000,0.000,0.000,-109.8548,-166.7564,243.4456,314.8675,-208.1283,-25.8617,-234.8517,-1.79976,-2.76313,-2.22344,123.990,0,1
m3,2,1,3,0.422,40.000,0.000,0.000,-109.0727,-168.6972,244.2205,316.2266,-207.4200,-25.4617,-237.3350,-1.80220,-2.77839,-2.24237,124.102,0,1
m3,2,1,4,0.617,40.000,0.000,0.000,-112.6955,-168.3062,243.3144,316.5899,-210.2950,-24.1533,-235.4183,-1.79792,-2.77350,-2.23077,124.016,0,1
m3,2,1,5,0.838,40.000,0.000,0.000,-112.2040,-168.3520,243.7828,316.7999,-210.0867,-25.0450,-235.7933,-1.78388,-2.75519,-2.20757,123.924,0,1
m3,2,1,6,1.035,40.000,0.000,0.000,-113.3708,-168.9049,244.5788,318.1205,-211.4450,-24.6950,-236.3933,-1.79182,-2.76740,-2.22100,123.967,0,1
m3,2,1,7,1.231,40.000,0.000,0.000,-116.3451,-168.3174,242.9234,317.6141,-213.1700,-23.1533,-234.3100,-1.80159,-2.79121,-2.23810,123.968,0,1
